ID,Genre,Year,AvgBudget,Share,BudgetShare
1,action,2006,50.59,10.97,10.178
2,action,2007,73.53,15.17,25.512	
3,action,2008,77.5,20.06,19.949
4,action,2009,81.84,19.18,25.019
5,action,2010,88.71,14.2,23.34
6,action,2011,117.33,20.78,27.915
7,action,2012,103.56,14.49,21.209
8,adventure,2006,68.75,20.37,13.83
9,adventure,2007,77.65,21.06,26.94
10,adventure,2008,99.45,21.13,25.6
11,adventure,2009,96.89,19.33,29.62
12,adventure,2010,119.29,29.22,31.38
13,adventure,2011,109.8,24.12,26.123
14,adventure,2012,144.81,29.75,29.656
15,comedy,2006,56.85,37.61,11.437
16,comedy,2007,40.63,30.99,14.1
17,comedy,2008,38.26,32.16,9.847
18,comedy,2009,44.88,27.2,13.72
19,comedy,2010,48.55,24.32,12.77
20,comedy,2011,49.097,24.24,11.68
21,comedy,2012,46.42,19.3,9.5
22,documentary,2006,85,1.11,17.01
23,documentary,2007,3,0.72,1.04
24,documentary,2008,60,0.89,15.4
25,documentary,2009,20,1.75,6.11
26,documentary,2010,12.44,0.89,3.17
27,documentary,2011,12,0.82,2.85
28,documentary,2012,80,1.22,16.38
29,drama,2006,67.42,17.05,13.56
30,drama,2007,23.14,13.25,8.03
31,drama,2008,36.95,11.14,9.51
32,drama,2009,33.34,17.24,10.1919
33,drama,2010,30.15,16.32,7.68
34,drama,2011,35.56,14.63,8.46
35,drama,2012,29.34,12.33,6.0
36,musical,2006,96.25,0.74,19.36
37,musical,2007,31.2,2.62,9.77
38,musical,2008,50,2.66,11.4
39,musical,2009,20,0.37,6.1
40,musical,2010,60.456,0.06,13.259
41,musical,2011,75,0.51,17.84
42,musical,2012,59.5,2.31,12.18
43,tsh,2006,72.19,14.07,14.5
44,tsh,2007,39.06,15.56,12.23
45,tsh,2008,26.32,10.98,6.0
46,tsh,2009,17.72,14.54,5.418
47,tsh,2010,32.93,13.74,7.27
48,tsh,2011,21.53,13.09,5.123
49,tsh,2012,24.67,16.52,5.05